trip_id,route_id,direction_id
6452929-T1_R_57_VT117_14:26-SETP2025-L1-Semaine-04,L1,1
6403261-36_R_99_3604_14:38-SETP2025-36-Semaine-33,36,
6452927-T1_R_57_VT112_14:06-SETP2025-L1-Semaine-04,L1,1
5097941-69_A_40_6901_19:15-PROJET2023-69-Semaine-15,69,0
6257299-59_R_98_5901_16:08-PROJET2025-59-Semaine-26,59,1
6429260-15_R_99_1506_14:04-SETP2025-15-Semaine-11,15,
6402544-32_A_48_3202_16:23-SETP2025-32-Semaine-34,32,0
5838911-22_R_95_2204_17:17-PROJET2025-22-Semaine-20,22,1
6355798-18_R_99_1807_15:43-SETP2025-18-Semaine-39,18,1
5341002-72_R_98_7201_16:25-PROJET2024-72-Semaine-74,72,1
6416305-51_A_49_5104_14:53-PROJET2025-51-Semaine-10,51,0
6409626-57_A_50_5714_16:18-SETP2025-57-Semaine-06,57,0
6428444-61_R_99_6103_14:40-PROJET2025-61-Semaine-24,61,
4542696-44_A_50_4401_14:55-RESEAU2023-44-Semaine-89,44,0
6402545-32_R_97_3202_14:31-SETP2025-32-Semaine-34,32,
6446563-05_A_99_0501_15:54-SETP2025-05-L-Ma-J-V-38,05,0
6365969-20_A_50_2007_14:15-SETP2025-20-Semaine-42,20,
6428453-61_R_99_6103_16:20-PROJET2025-61-Semaine-24,61,1
6412297-71_R_99_7101_15:58-PROJET2025-71-Semaine-80,71,1
6412288-71_R_99_7101_15:17-PROJET2025-71-Semaine-80,71,1
6077775-58_R_98_5802_16:32-PROJET2025-58-Semaine-06,58,1
5422171-75_A_49_7501_17:17-PROJET2024-75-Semaine-86-1101100,75,0
6218553-84_R_99_8402_16:01-PROJET2025-84-Semaine-04,84,1
6416488-33_A_50_3304_14:24-SETP2025-33-L-Ma-J-V-36,33,
6005524-B_R_99_VTB03_14:36-JANV2025-B-Semaine-03,B,1
6412287-71_A_50_7101_15:00-PROJET2025-71-Semaine-80,71,0
6369709-30_A_50_3001_16:16-SETP2025-30-Semaine-32,30,0
4669740-62_R_99_6203_18:30-RESEAU2023-62-Semaine-17,62,1
6368807-09_R_99_0903_16:55-PROJET2025-09-Semaine-35,09,1
6018961-55_R_98_5502_14:35-PROJET2025-55-Semaine-08,55,
6420742-81_A_49_8102_14:50-SETP2025-81-Semaine-40,81,0
4759139-47_A_50_4701_14:23-PROJET2023-47-Semaine-10,47,
6414263-07_A_49_0709_14:30-SETP2025-07-L-Ma-J-V-41,07,
4523344-88_A_50_8801_14:15-RESEAU2023-88-Semaine-83-1101100,88,0
6452870-T1_A_12_VT101_14:09-SETP2025-L1-Semaine-04,L1,0
6452745-T1_A_12_VT102_14:12-SETP2025-L1-Semaine-04,L1,0
6253089-14_A_50_1402_15:29-SETP2025-14-L-Ma-J-V-38,14,0
4515190-80_R_96_8001_15:52-RESEAU2023-80-Semaine-94,80,1
6368892-09_R_98_0908_15:40-PROJET2025-09-Semaine-35,09,1
6413114-38_R_99_3804_14:38-SETP2025-38-Semaine-41,38,1
6452701-T1_R_57_VT116_14:22-SETP2025-L1-Semaine-04,L1,1
6005551-B_R_99_VTB02_14:26-JANV2025-B-Semaine-03,B,1
4350594-40_R_99_4001_15:40-RESEAU2023-40-Semaine-04,40,1
6409640-57_R_99_5710_16:30-SETP2025-57-Semaine-06,57,1
6257314-59_R_98_5903_14:32-PROJET2025-59-Semaine-26,59,
6218536-84_A_46_8403_16:20-PROJET2025-84-Semaine-04,84,0
6422643-99_A_50_9902_14:46-SETP2025-99-Semaine-11,99,0
6420122-85_R_94_8501_15:15-PROJET2025-85-Semaine-06-1101100,85,1
6420004-35_R_99_3502_13:39-SETP2025-35-Semaine-35,35,
6416491-33_R_99_3303_15:58-SETP2025-33-L-Ma-J-V-36,33,1
4759140-47_A_50_4702_15:18-PROJET2023-47-Semaine-10,47,0
5097936-69_R_90_6901_14:25-PROJET2023-69-Semaine-15,69,
6140099-41_R_98_4101_14:19-PROJET2025-41-Semaine-05,41,
6414322-07_A_49_0701_16:09-SETP2025-07-L-Ma-J-V-41,07,0
6365974-20_A_50_2003_14:54-SETP2025-20-Semaine-42,20,0
6077796-58_A_49_5801_17:50-PROJET2025-58-Semaine-06,58,0
